,Furnishing_status,OperatingTime,SecurityDeposit,Premium,Area,BHK,Owner,ResidencyType
315,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
316,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
317,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
318,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
319,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
320,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
321,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
322,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
323,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
324,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
325,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
326,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
327,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
328,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
329,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
330,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
331,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
332,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
333,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
334,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
335,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
336,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
337,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
338,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
339,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
340,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
341,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
342,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
343,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
344,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
345,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
346,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
347,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
348,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
349,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
350,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
351,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
352,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
353,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
354,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
355,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
356,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
357,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
358,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
359,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
360,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
361,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
362,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
363,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
364,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
365,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
366,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
367,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
368,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
369,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
370,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
371,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
372,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
373,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
374,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
375,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
376,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
377,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
378,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
379,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
380,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
381,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
382,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
383,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
384,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
385,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
386,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
387,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
388,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
389,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
390,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
391,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
392,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
393,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
394,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
395,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
396,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
397,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
398,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
399,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
400,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
401,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
402,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
403,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
404,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
405,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
406,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
407,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
408,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
409,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
410,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
411,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
412,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
413,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
414,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
415,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
416,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
417,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
418,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
419,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
420,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
421,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
422,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
423,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
424,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
425,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
426,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
427,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
428,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
429,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
430,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
431,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
432,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
433,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
434,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
435,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
436,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
437,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
438,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
439,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
440,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
441,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
442,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
443,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
444,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
445,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
446,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
447,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
448,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
449,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
450,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
451,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
452,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
453,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
454,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
455,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
456,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
457,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
458,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
459,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
460,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
461,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
462,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
463,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
464,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
465,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
466,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
467,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
468,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
469,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
470,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
471,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
472,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
473,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
474,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
475,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
476,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
477,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
478,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
479,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
480,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
481,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
482,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
483,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
484,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
485,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
486,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
487,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
488,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
489,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
490,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
491,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
492,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
493,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
494,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
495,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
496,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
497,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
498,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
499,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
500,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
501,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
502,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
503,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
504,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
505,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
506,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
507,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
508,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
509,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
510,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
511,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
512,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
513,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
514,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
515,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
516,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
517,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
518,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
519,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
520,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
521,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
522,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
523,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
524,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
525,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
526,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
527,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
528,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
529,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
530,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
531,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
532,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
533,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
534,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
535,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
536,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
537,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
538,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
539,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
540,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
541,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
542,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
543,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
544,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
545,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
546,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
547,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
548,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
549,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
550,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
551,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
552,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
553,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
554,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
555,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
556,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
557,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
558,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
559,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
560,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
561,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
562,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
563,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
564,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
565,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
566,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
567,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
568,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
569,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
570,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
571,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
572,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
573,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
574,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
575,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
576,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
577,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
578,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
579,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
580,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
581,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
582,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
583,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
584,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
585,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
586,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
587,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
588,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
589,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
590,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
591,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
592,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
593,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
594,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
595,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
596,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
597,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
598,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
599,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
600,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
601,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
602,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
603,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
604,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
605,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
606,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
607,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
608,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
609,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
610,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
611,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
612,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
613,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
614,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
615,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
616,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
617,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
618,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
619,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
620,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
621,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
622,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
623,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
624,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
625,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
626,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
627,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
628,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
629,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
630,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
